szerzo,count 1,wiki,évek,jegyzet,sex,dateOfBirth,placeOfBirth,placeOfBirthX,placeOfBirthY,dateOfDeath,placeOfDeath,placeOfDeathX,placeOfDeathY,viaf,gndID
BOROSS Vilmos,5,https://www.wikidata.org/wiki/Q30337115,NA,NA,férfi,1859-03-28,Nagyvárad,21.921111111,47.072222222,1904-03-01,Budapest,19.040833333,47.498333333,NA,NA
BOROSTYÁNI Nándor,3,https://www.wikidata.org/wiki/Q835282,NA,NA,férfi,1847-01-14,Szeged,20.166666666,46.25,1902-08-05,Párizs,2.351388888,48.856944444,121430142,NA
BORSHY KEREKES György,2,NA,1892 – 1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BORSI KEREKES György,1,NA,NA,RESOLVE combine with BORSHY KEREKES,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BORSY Irma K.,1,NA,1942,PUBLDATA Arcanum Borsi,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BORUTH Elemér,2,https://www.wikidata.org/wiki/Q848183,NA,NA,férfi,1833-01-26,NA,NA,NA,1886-08-26,NA,NA,NA,NA,NA
BOTOND-BOLICS György,3,https://www.wikidata.org/wiki/Q848469,NA,NA,férfi,1913-10-22,Arad,21.316666666,46.166666666,1975-01-08,Budapest,19.040833333,47.498333333,12831050,1096178699
BOWRING John,1,NA,NA,RESOLVE nem szerző,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
BOZZAY Pál,4,https://www.wikidata.org/wiki/Q848709,NA,NA,férfi,1829-01-10,NA,NA,NA,1852-01-01,NA,NA,NA,121432423,NA
BRODARICS István,1,https://www.wikidata.org/wiki/Q786884,NA,NA,férfi,1480-01-01,Herešin,16.86666667,46.18333333,1539-11-17,Vác,19.131111111,47.775277777,64438742,104212756
BRÓDY László,1,https://www.wikidata.org/wiki/Q83628062,NA,NA,férfi,1897-02-21,Sátoraljaújhely,21.65611,48.39405,1984-04-23,Budapest,19.040833333,47.498333333,121433707,NA
BRÓDY Lilly,3,https://www.wikidata.org/wiki/Q83617450,NA,NA,nő,1906-05-06,Királyhelmec,21.979722222,48.423333333,1962-10-24,Budapest,19.040833333,47.498333333,121433711,NA
BRÓDY Sándor,53,https://www.wikidata.org/wiki/Q738786,NA,NA,férfi,1863-07-23,Eger,20.374722222,47.898888888,1924-08-12,Budapest,19.040833333,47.498333333,49267921,118857282
BRUNSWICK Teréz grófnő,1,https://www.wikidata.org/wiki/Q461600,NA,Brunszvik,nő,1775-07-27,Pozsony,17.112777777,48.144722222,1861-09-17,Budapest,19.040833333,47.498333333,37045192,118674900
BUCZI Emil,8,https://www.wikidata.org/wiki/Q12346952,NA,Buczy,férfi,1782-05-16,NA,NA,NA,1839-10-28,Kolozsvár,23.559444444,46.78,121434702,NA
BUDA Ferenc,7,https://www.wikidata.org/wiki/Q850759,NA,NA,NA,1936-11-03,Debrecen,NA,NA,NA,NA,NA,NA,NA,NA
BUDAY György,3,https://www.wikidata.org/wiki/Q609879,NA,"RESOLVE: nem szerző, hanem illusztrátor. népballada stb. forditások esetleg az övéi, de nem szerző",férfi,1907-04-07,Kolozsvár,23.559444444,46.78,1990-06-12,Coulsdon,-0.1386,51.3211,69054640,119397773
BULLA János,4,NA,1840-1915,mokka,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
